,name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation,state
687,Guadaloupe County,11430,Valid,Iron,20.5,Found,1950.0,29.5,-98.0,"(29.500000, -98.000000)",US-TX
688,Guadalupe y Calvo,11431,Valid,"Iron, IIAB",58630.0,Found,1971.0,26.1,-106.96667,"(26.100000, -106.966670)",
689,Guffey,11441,Valid,"Iron, ungrouped",309000.0,Found,1907.0,38.76667,-105.51667,"(38.766670, -105.516670)",US-CO
690,Guilford County,11444,Valid,"Iron, IIIAB",1100.0,Found,1822.0,35.56667,-79.83333,"(35.566670, -79.833330)",US-NC
691,Guin,11445,Valid,"Iron, ungrouped",34500.0,Found,1969.0,33.96667,-87.91667,"(33.966670, -87.916670)",US-AL
692,Gun Creek,11451,Valid,"Iron, ungrouped",22700.0,Found,1909.0,34.0,-111.0,"(34.000000, -111.000000)",US-AZ
693,Gunlock,11453,Valid,L3.2,6800.0,Found,1982.0,37.28333,-113.78333,"(37.283330, -113.783330)",US-UT
694,Hagersville,11470,Valid,"Iron, IAB complex",30000.0,Found,1999.0,42.96667,-80.15,"(42.966670, -80.150000)",
695,Hale Center (no. 1),11477,Valid,L5,610.0,Found,1936.0,34.05,-101.75,"(34.050000, -101.750000)",US-TX
696,Hale Center (no. 2),11478,Valid,H4,695.0,Found,1936.0,34.05,-101.75,"(34.050000, -101.750000)",US-TX
697,Hamilton (Texas),11484,Valid,OC,2700.0,Found,1965.0,31.59333,-98.25,"(31.593330, -98.250000)",US-TX
698,Hammond,11813,Valid,"Iron, ungrouped",24000.0,Found,1884.0,44.91667,-92.43333,"(44.916670, -92.433330)",US-WI
699,Hangman Crossing,11816,Valid,H4,1300.0,Found,1976.0,38.91972,-85.94722,"(38.919720, -85.947220)",US-KY
700,Happy (a),11818,Valid,H3,2860.0,Found,1971.0,35.68,-101.99333,"(35.680000, -101.993330)",US-TX
